,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,70.94118412698413,8.238796150244951,8.610625003129243,3.093125016093254
1,Exp1,70.25921164021165,9.478477206250187,7.412499931305646,3.309999962002039
2,Exp2,52.64424126984127,6.073313547696649,8.668125045150518,3.546249956488609
3,Exp3,69.17627936507935,7.043979317937601,9.820624996572732,2.9687500061839818
4,Exp4,50.858424338624346,10.480870356452357,4.852500089108943,2.3700000221282242
5,Exp5,44.86694285714286,12.353658302307363,3.6318750089406966,1.885625018402934
6,Exp6,47.315085714285715,5.891831075009718,8.03062496393919,3.2275000090152024
7,Exp7,54.69365396825397,6.429347165123447,8.506875202655792,3.5681250008195637
8,Exp8,66.2655343915344,12.015509333519395,5.515000034719705,2.5400000127404927
9,Exp9,68.38397777777777,10.827744977868981,6.3156250832974905,2.9256250212341546
10,Exp10,97.26605608465607,10.624364510618037,9.154999904930591,3.744375004097819
11,"BMGY, BMMY + Cells",39.52435873015873,4.426329855664561,8.929374904036521,2.5887499532103537
