,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,76.39568571428572,7.700170613327243,9.95250008687377,4.161250029355287
1,Exp1,84.96960766550522,8.236645732868398,10.34749978840351,5.025625039488077
2,Exp2,111.10173588850174,13.291336974289015,8.376250040382146,3.786249967887997
3,Exp3,52.480434146341466,4.58774774886284,11.338124886751174,3.5018750435113906
4,Exp4,69.95766480836237,8.055034531678608,8.684374947696924,3.7962499509006737
5,Exp5,67.24762717770034,8.206615968006124,8.196875077337026,2.930000048726797
6,Exp6,81.95067874564461,7.990027107787075,10.30812486693263,3.2224999709427355
7,Exp7,110.08165226480835,9.932726897453414,11.083125226795673,6.077499963939189
8,Exp8,39.89670104529617,4.206834630230446,9.479999911636114,3.905624986290931
9,Exp9,44.4764306620209,7.157529764154322,6.2106251685321325,1.6143749902397393
10,Exp10,34.05935470383275,4.478380451046501,7.606250137686729,1.472499963492155
11,"BMGY, BMMY + Cells",28.123429965156795,3.2547466193155317,8.669999983757734,2.8868749706447123
