,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%],Glu_OG [mM],Tween_OG [%],Glu_Prod [mM],Tween_Prod [%],pH
0,Citrate,7.02107139512195,0.875917190666666,6.0029228366666665,19.709626241666665,0.8316985259999999,14.239488441666664,0.5553314616666667,5.75
1,Trehalose,24.565176826666665,0.7497205928,5.72153072,8.402165291666664,0.8640325836666668,25.739173066666666,0.7545197871666668,5.75
2,Ribose,12.573729125223746,0.8423668672,5.212012573333333,13.725679525,0.8976973983333333,21.17925238333333,0.7483613811666667,6.000000000000001
3,Trehalose,10.604368914666665,2.0701960237333332,4.598630796666666,16.051947875,0.5230023273333333,12.14594683333333,0.6764480325,5.75
4,Citrate,27.916970380487804,1.4996251578666662,5.320112136666666,15.833025516666666,0.9351571758333332,15.779816691666666,0.8168710015,6.000000000000001
5,Ribose,9.92425721251484,0.16496782240000002,3.1544161716666657,12.358689183333329,0.6347490516666666,8.908522566666665,0.929983765,5.75
6,Trehalose,22.902676186666664,2.252927197866667,4.519662613333332,22.730689533333333,0.9833887868333332,19.930686458333334,0.9577400531666668,6.000000000000001
7,Ribose,3.8088389312477147,0.6910948781333329,4.45259405,9.068982316666666,0.9896757208333332,16.926162975,0.6181635545,6.000000000000001
8,Sucrose,37.51814898844445,4.279331776,0.533663014,3.5678144725,0.9395448635,8.174230372499995,0.6004241108333334,5.75
9,Sucrose,36.941347968,5.357757034666668,6.004695840000001,44.98319411666666,0.0272972130833333,14.952722074999999,0.0800511091333333,5.75
10,D-Arabinose,37.771344530877194,5.310818901333334,6.160132253333334,46.7458915,0.0502458177333333,5.6850760975,0.3002671673333333,5.75
