,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%],Glu_OG [mM],Tween_OG [%],Glu_Prod [mM],Tween_Prod [%],pH
0,Galactose,12.010666666666665,2.613333333333333,9.9,2.33333333333333,0.05,21.83333333333333,0.3833333333333333,6.000000000000001
1,Sucrose,13.191111111111114,4.373333333333334,3.466666666666667,3.416666666666665,0.8333333333333334,5.08333333333333,0.7166666666666667,5.75
2,Galactose,4.0536,4.24,5.633333333333334,7.000000000000001,0.1166666666666666,24.916666666666664,0.1166666666666666,6.000000000000001
3,Galactose,18.066044444444447,5.146666666666667,8.433333333333334,0.666666666666665,0.0166666666666666,28.000000000000004,0.3,6.000000000000001
4,Xylose,27.708095238095236,9.68,6.733333333333333,28.999999999999996,0.35,6.3333333333333295,0.8833333333333333,6.5
5,Rhamnose,43.46666666666666,1.2266666666666661,5.6000000000000005,31.666666666666664,0.5833333333333334,21.58333333333333,0.2333333333333333,6.5
6,Glucose,34.599999999999994,5.493333333333334,5.333333333333334,13.666666666666666,0.0666666666666666,43.25,0.2,5.75
7,Rhamnose,48.266666666666666,3.2800000000000002,4.266666666666667,47.333333333333336,0.3666666666666666,17.25,0.1333333333333333,6.000000000000001
8,Lactose,1.349999999999995,0.8799999999999999,0.2,31.25,0.7833333333333333,2.666666666666665,0.8166666666666667,5.75
9,Succinate,11.25111111111111,5.333333333333334,2.633333333333333,20.583333333333336,0.45,21.416666666666664,0.15,6.5
10,Ribose,25.069520547945206,0.666666666666666,4.666666666666666,20.333333333333332,0.9666666666666668,25.583333333333336,0.6833333333333333,6.5
