,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.9408722222222221,0.096,0.73
1,1,0.9900833333333333,0.9333333333333333,0.7733333333333333
2,3,0.58,0.06666666666666667,0.3566666666666667
3,4,0.8378564102564102,0.005333333333333334,0.18666666666666668
4,5,0.9984666666666665,0.21333333333333335,0.5033333333333333
5,7,0.5899142857142857,0.9973333333333333,0.82
6,8,0.02001777777777778,0.984,0.18
7,10,0.976,0.07200000000000001,0.6833333333333333
8,12,0.94,0.32,0.19333333333333333
9,14,0.0,0.02666666666666667,0.26666666666666666
10,15,0.9482926829268292,0.7226666666666667,0.88
