,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,163,36,219
1,Mannitol,981,350,232
2,Glucose,145,25,107
3,Mannose,151,2,56
4,Pyruvate,425,80,151
5,Xylose,132,374,246
6,Galactose,20,369,54
7,Rhamnose,366,27,205
8,Lactose,940,120,58
9,Ribose,0,10,80
10,Citrate,243,271,264
