,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,163.13944834980822,35.66765124529083,219.20094930197337
1,Mannitol,980.5060758564454,349.7148598884982,232.07162920698516
2,Glucose,145.41512207692773,25.44279845478281,107.24684365911155
3,Mannose,151.2935529015777,2.341421179802922,55.76816276925276
4,Pyruvate,424.9077821859205,80.08107081687889,150.6452434062303
5,Xylose,131.77867308467822,374.2546946456211,246.05259656998936
6,Galactose,19.80474638799202,369.2270712030839,54.48357647501547
7,Rhamnose,365.93175699260496,27.352890468573012,204.77125715501947
8,Lactose,940.4980324838864,120.17877196914884,57.769444407001785
9,Ribose,0.2656070547975116,10.037875826884779,79.86939876927129
10,Citrate,243.34662093419934,271.2877283768014,263.78663533028947
